state_name,county_entity_name,census_tract_2020_number_fips_code,tract_type
Alabama,Baldwin County,1003010100,Directly adjoining
Alabama,Bibb County,1007010001,"Mine closure, Directly adjoining"
Alabama,Bibb County,1007010005,Directly adjoining
Alabama,Bibb County,1007010006,"Mine closure, Directly adjoining"
Alabama,Bibb County,1007010007,Directly adjoining
Alabama,Bibb County,1007010008,"Mine closure, Directly adjoining"
Alabama,Bibb County,1007010009,Directly adjoining
Alabama,Bibb County,1007010010,Directly adjoining
Alabama,Bibb County,1007010011,Directly adjoining
Alabama,Blount County,1009050104,Directly adjoining
Alabama,Blount County,1009050200,Directly adjoining
Alabama,Blount County,1009050502,Directly adjoining
Alabama,Blount County,1009050601,Directly adjoining
Alabama,Blount County,1009050603,Directly adjoining
Alabama,Blount County,1009050701,Directly adjoining
Alabama,Blount County,1009050702,Mine closure
Alabama,Cherokee County,1019955701,Directly adjoining
Alabama,Cherokee County,1019956101,Directly adjoining
Alabama,Chilton County,1021060404,Directly adjoining
Alabama,Clarke County,1025957901,Directly adjoining
Alabama,Clarke County,1025957902,Directly adjoining
Alabama,Clarke County,1025958003,Directly adjoining
Alabama,Colbert County,1033020500,Directly adjoining
Alabama,Colbert County,1033020600,Directly adjoining
Alabama,Colbert County,1033020901,Directly adjoining
Alabama,Colbert County,1033020902,Generating unit retirement
Alabama,Colbert County,1033021000,Directly adjoining
Alabama,Cullman County,1043965501,Directly adjoining
Alabama,Cullman County,1043965502,Directly adjoining
Alabama,Cullman County,1043965600,Directly adjoining
Alabama,Cullman County,1043965700,"Mine closure, Directly adjoining"
Alabama,DeKalb County,1049960102,Directly adjoining
Alabama,DeKalb County,1049960200,Directly adjoining
Alabama,Fayette County,1057020000,Directly adjoining
Alabama,Fayette County,1057020100,Directly adjoining
Alabama,Fayette County,1057020300,Directly adjoining
Alabama,Fayette County,1057020400,"Mine closure, Directly adjoining"
Alabama,Franklin County,1059973100,Directly adjoining
Alabama,Franklin County,1059973702,Directly adjoining
Alabama,Franklin County,1059973703,Directly adjoining
Alabama,Jackson County,1071950101,Directly adjoining
Alabama,Jackson County,1071950102,"Mine closure, Directly adjoining"
Alabama,Jackson County,1071950200,Directly adjoining
Alabama,Jackson County,1071950301,"Mine closure, Directly adjoining"
Alabama,Jackson County,1071950302,"Generating unit retirement, Directly adjoining"
Alabama,Jackson County,1071950400,Directly adjoining
Alabama,Jackson County,1071950601,Directly adjoining
Alabama,Jackson County,1071950901,Directly adjoining
Alabama,Jackson County,1071951000,"Mine closure, Directly adjoining"
Alabama,Jackson County,1071951101,Directly adjoining
Alabama,Jefferson County,1073011206,Directly adjoining
Alabama,Jefferson County,1073011301,Directly adjoining
Alabama,Jefferson County,1073011303,Directly adjoining
Alabama,Jefferson County,1073011304,"Mine closure, Directly adjoining"
Alabama,Jefferson County,1073011401,Directly adjoining
Alabama,Jefferson County,1073011402,"Mine closure, Directly adjoining"
Alabama,Jefferson County,1073011500,Directly adjoining
Alabama,Jefferson County,1073011600,"Mine closure, Directly adjoining"
Alabama,Jefferson County,1073011704,"Mine closure, Directly adjoining"
Alabama,Jefferson County,1073011706,Directly adjoining
Alabama,Jefferson County,1073011707,Directly adjoining
Alabama,Jefferson County,1073011708,Directly adjoining
Alabama,Jefferson County,1073011710,Directly adjoining
Alabama,Jefferson County,1073012001,Directly adjoining
Alabama,Jefferson County,1073012103,Directly adjoining
Alabama,Jefferson County,1073012104,"Mine closure, Directly adjoining"
Alabama,Jefferson County,1073012200,Directly adjoining
Alabama,Jefferson County,1073012302,"Mine closure, Directly adjoining"
Alabama,Jefferson County,1073012304,Directly adjoining
Alabama,Jefferson County,1073012307,Directly adjoining
Alabama,Jefferson County,1073012403,Directly adjoining
Alabama,Jefferson County,1073012500,Directly adjoining
Alabama,Jefferson County,1073014001,Directly adjoining
Alabama,Jefferson County,1073014002,Directly adjoining
Alabama,Jefferson County,1073014104,Directly adjoining
Alabama,Jefferson County,1073014106,"Mine closure, Directly adjoining"
Alabama,Jefferson County,1073014107,Directly adjoining
Alabama,Jefferson County,1073014207,Directly adjoining
Alabama,Lamar County,1075030000,Mine closure
Alabama,Lamar County,1075030101,Directly adjoining
Alabama,Lamar County,1075030102,Directly adjoining
Alabama,Lauderdale County,1077011200,Directly adjoining
Alabama,Marion County,1093964001,"Mine closure, Directly adjoining"
Alabama,Marion County,1093964002,Directly adjoining
Alabama,Marion County,1093964100,Directly adjoining
Alabama,Marion County,1093964300,Directly adjoining
Alabama,Marion County,1093964401,Directly adjoining
Alabama,Marion County,1093964402,Directly adjoining
Alabama,Marion County,1093964500,"Mine closure, Directly adjoining"
Alabama,Marion County,1093964600,Directly adjoining
Alabama,Marion County,1093964701,Directly adjoining
Alabama,Marion County,1093964702,"Mine closure, Directly adjoining"
Alabama,Mobile County,1097005702,Directly adjoining
Alabama,Mobile County,1097005800,Generating unit retirement
Alabama,Mobile County,1097005900,Directly adjoining
Alabama,Mobile County,1097006000,Directly adjoining
Alabama,Shelby County,1117030337,Directly adjoining
Alabama,Shelby County,1117030350,Directly adjoining
Alabama,Shelby County,1117030405,Directly adjoining
Alabama,Shelby County,1117030406,Directly adjoining
