laus_code,state_fips_code,county_fips_code,county_name_state_abbreviation,year,labor_force,employed,unemployed,unemployment_rate
CN0100100000000,01,001,"Autauga County, AL",2021,26545,25809,736,2.8     
CN0100300000000,01,003,"Baldwin County, AL",2021,99953,97034,2919,2.9     
CN0100500000000,01,005,"Barbour County, AL",2021,8280,7821,459,5.5     
CN0100700000000,01,007,"Bibb County, AL",2021,8641,8347,294,3.4     
CN0100900000000,01,009,"Blount County, AL",2021,25377,24779,598,2.4     
CN0101100000000,01,011,"Bullock County, AL",2021,4637,4455,182,3.9     
CN0101300000000,01,013,"Butler County, AL",2021,8819,8367,452,5.1     
CN0101500000000,01,015,"Calhoun County, AL",2021,46368,44497,1871,4.0     
CN0101700000000,01,017,"Chambers County, AL",2021,15790,15220,570,3.6     
CN0101900000000,01,019,"Cherokee County, AL",2021,11686,11390,296,2.5     
CN0102100000000,01,021,"Chilton County, AL",2021,20004,19443,561,2.8     
CN0102300000000,01,023,"Choctaw County, AL",2021,4567,4370,197,4.3     
CN0102500000000,01,025,"Clarke County, AL",2021,7736,7286,450,5.8     
CN0102700000000,01,027,"Clay County, AL",2021,6048,5884,164,2.7     
CN0102900000000,01,029,"Cleburne County, AL",2021,5913,5761,152,2.6     
CN0103100000000,01,031,"Coffee County, AL",2021,21624,21017,607,2.8     
CN0103300000000,01,033,"Colbert County, AL",2021,23609,22690,919,3.9     
CN0103500000000,01,035,"Conecuh County, AL",2021,4390,4182,208,4.7     
CN0103700000000,01,037,"Coosa County, AL",2021,4371,4238,133,3.0     
CN0103900000000,01,039,"Covington County, AL",2021,15233,14775,458,3.0     
CN0104100000000,01,041,"Crenshaw County, AL",2021,6131,5929,202,3.3     
CN0104300000000,01,043,"Cullman County, AL",2021,38931,38020,911,2.3     
CN0104500000000,01,045,"Dale County, AL",2021,20974,20315,659,3.1     
CN0104700000000,01,047,"Dallas County, AL",2021,13965,12977,988,7.1     
CN0104900000000,01,049,"DeKalb County, AL",2021,31002,30215,787,2.5     
CN0105100000000,01,051,"Elmore County, AL",2021,37873,36860,1013,2.7     
CN0105300000000,01,053,"Escambia County, AL",2021,14142,13576,566,4.0     
CN0105500000000,01,055,"Etowah County, AL",2021,39439,37863,1576,4.0     
