state_fips_code,county_fips_code,state_name,county_entity_name,msa_non_msa_code,msa_non_msa_name
01,007,Alabama,Bibb County,13820,"Birmingham-Hoover, AL"
01,009,Alabama,Blount County,13820,"Birmingham-Hoover, AL"
01,021,Alabama,Chilton County,13820,"Birmingham-Hoover, AL"
01,023,Alabama,Choctaw County,100003,Southwest Alabama nonmetropolitan area
01,025,Alabama,Clarke County,100003,"Southwest Alabama nonmetropolitan
area"
01,035,Alabama,Conecuh County,100003,Southwest Alabama nonmetropolitan area
01,043,Alabama,Cullman County,100001,"Northwest Alabama nonmetropolitan
area"
01,047,Alabama,Dallas County,100003,"Southwest Alabama nonmetropolitan
area"
01,053,Alabama,Escambia County,100003,Southwest Alabama nonmetropolitan area
01,057,Alabama,Fayette County,100001,"Northwest Alabama nonmetropolitan
area"
01,059,Alabama,Franklin County,100001,"Northwest Alabama nonmetropolitan
area"
01,063,Alabama,Greene County,100003,Southwest Alabama nonmetropolitan area
01,065,Alabama,Hale County,46220,"Tuscaloosa, AL"
01,073,Alabama,Jefferson County,13820,"Birmingham-Hoover, AL"
01,075,Alabama,Lamar County,100001,"Northwest Alabama nonmetropolitan
area"
01,079,Alabama,Lawrence County,19460,"Decatur, AL"
01,091,Alabama,Marengo County,100003,Southwest Alabama nonmetropolitan area
01,093,Alabama,Marion County,100001,"Northwest Alabama nonmetropolitan
area"
01,097,Alabama,Mobile County,33660,"Mobile, AL"
01,099,Alabama,Monroe County,100003,Southwest Alabama nonmetropolitan area
01,103,Alabama,Morgan County,19460,"Decatur, AL"
01,105,Alabama,Perry County,100003,Southwest Alabama nonmetropolitan area
01,107,Alabama,Pickens County,46220,"Tuscaloosa, AL"
01,115,Alabama,St. Clair County,13820,"Birmingham-Hoover, AL"
01,117,Alabama,Shelby County,13820,"Birmingham-Hoover, AL"
01,119,Alabama,Sumter County,100003,Southwest Alabama nonmetropolitan area
01,125,Alabama,"Tuscaloosa
County",46220,"Tuscaloosa, AL"
01,127,Alabama,Walker County,13820,"Birmingham-Hoover, AL"
01,129,Alabama,Washington County,100003,Southwest Alabama nonmetropolitan area
01,131,Alabama,Wilcox County,100003,"Southwest Alabama nonmetropolitan
area"
01,133,Alabama,Winston County,100001,"Northwest Alabama nonmetropolitan
area"
02,013,Alaska,Aleutians East Borough,200006,Alaska nonmetropolitan area
02,016,Alaska,"Aleutians West
Census Area",200006,Alaska nonmetropolitan area
02,020,Alaska,"Anchorage
Municipality",11260,"Anchorage, AK"
02,050,Alaska,Bethel Census Area,200006,Alaska nonmetropolitan area
02,060,Alaska,"Bristol Bay
Borough",200006,Alaska nonmetropolitan area
02,063,Alaska,"Chugach Census
Area",200006,Alaska nonmetropolitan area
02,066,Alaska,Copper River Census Area,200006,Alaska nonmetropolitan area
02,068,Alaska,Denali Borough,200006,Alaska nonmetropolitan area
02,070,Alaska,"Dillingham
Census Area",200006,Alaska nonmetropolitan area
02,090,Alaska,Fairbanks North Star Borough,21820,"Fairbanks, AK"
02,100,Alaska,Haines Borough,200006,Alaska nonmetropolitan area
02,105,Alaska,Hoonah-Angoon Census Area,200006,Alaska nonmetropolitan area
