state_fips_code,county_fips_code,state_name,county_entity_name,msa_non_msa_code,msa_non_msa_name
01,001,Alabama,Autauga County,33860,"Montgomery, AL"
01,003,Alabama,Baldwin County,19300,"Daphne-Fairhope-Foley, AL"
01,005,Alabama,Barbour County,100004,"Southeast Alabama nonmetropolitan
area"
01,007,Alabama,Bibb County,13820,"Birmingham-Hoover, AL"
01,009,Alabama,Blount County,13820,"Birmingham-Hoover, AL"
01,011,Alabama,Bullock County,100004,Southeast Alabama nonmetropolitan area
01,013,Alabama,Butler County,100004,"Southeast Alabama nonmetropolitan
area"
01,015,Alabama,Calhoun County,11500,"Anniston-Oxford-Jacksonville, AL"
01,017,Alabama,Chambers County,100002,Northeast Alabama nonmetropolitan area
01,019,Alabama,Cherokee County,100002,Northeast Alabama nonmetropolitan area
01,021,Alabama,Chilton County,13820,"Birmingham-Hoover, AL"
01,023,Alabama,Choctaw County,100003,"Southwest Alabama nonmetropolitan
area"
01,025,Alabama,Clarke County,100003,Southwest Alabama nonmetropolitan area
01,027,Alabama,Clay County,100002,"Northeast Alabama nonmetropolitan
area"
01,029,Alabama,Cleburne County,100002,"Northeast Alabama nonmetropolitan
area"
01,031,Alabama,Coffee County,100004,Southeast Alabama nonmetropolitan area
01,033,Alabama,Colbert County,22520,"Florence-Muscle Shoals, AL"
01,035,Alabama,Conecuh County,100003,"Southwest Alabama nonmetropolitan
area"
01,037,Alabama,Coosa County,100002,"Northeast Alabama nonmetropolitan
area"
01,039,Alabama,Covington County,100004,Southeast Alabama nonmetropolitan area
01,041,Alabama,"Crenshaw
County",100004,"Southeast Alabama nonmetropolitan
area"
01,043,Alabama,Cullman County,100001,Northwest Alabama nonmetropolitan area
01,045,Alabama,Dale County,100004,Southeast Alabama nonmetropolitan area
01,047,Alabama,Dallas County,100003,"Southwest Alabama nonmetropolitan
area"
01,049,Alabama,DeKalb County,100002,Northeast Alabama nonmetropolitan area
01,051,Alabama,Elmore County,33860,"Montgomery, AL"
01,053,Alabama,Escambia County,100003,"Southwest Alabama nonmetropolitan
area"
01,055,Alabama,Etowah County,23460,"Gadsden, AL"
01,057,Alabama,Fayette County,100001,Northwest Alabama nonmetropolitan area
01,059,Alabama,Franklin County,100001,"Northwest Alabama nonmetropolitan
area"
01,061,Alabama,Geneva County,20020,"Dothan, AL"
01,063,Alabama,Greene County,100003,"Southwest Alabama nonmetropolitan
area"
01,065,Alabama,Hale County,46220,"Tuscaloosa, AL"
01,067,Alabama,Henry County,20020,"Dothan, AL"
