state,st_abbr,countyname,pollutant,revoked_naaqs,area_name,split,yr2021,yr2022,yr2023,effec_rede,nonattain,class,part,population,fips_state,fips_cnty,pollorder,composid,exportdt
ALASKA,AK,Fairbanks North Star Borough,PM-2.5 (2006),,"Fairbanks, AK",FALSE,21,22,23,  -   -,Yes,Serious,P,87456,02,090,d,PM-2.5.2006.Fairbanks,9/30/2023
ARIZONA,AZ,Cochise County,PM-10 (1987),,"Cochise County; Paul Spur/Douglas planning area, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,17495,04,003,B,PM-10.1990.Douglas,9/30/2023
ARIZONA,AZ,Gila County,8-Hour Ozone (2015),,"Phoenix-Mesa, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,56,04,007,e,Ozone_8-hr.2015.Phoenix,9/30/2023
ARIZONA,AZ,Gila County,Lead (2008),,"Hayden, AZ",FALSE,21,22,23,  -   -,Yes,,P,1284,04,007,A,Lead.2008.Hayden,9/30/2023
ARIZONA,AZ,Gila County,PM-10 (1987),,"Hayden, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,1587,04,007,B,PM-10.1990.Hayden,9/30/2023
ARIZONA,AZ,Gila County,PM-10 (1987),,"Miami, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,15218,04,007,B,PM-10.1990.Miami,9/30/2023
ARIZONA,AZ,Gila County,Sulfur Dioxide (2010),,"Hayden, AZ",FALSE,21,22,23,  -   -,Yes,,P,1284,04,007,A,SO2.2010.Hayden,9/30/2023
ARIZONA,AZ,Gila County,Sulfur Dioxide (2010),,"Miami, AZ",FALSE,21,22,23,  -   -,Yes,,P,14995,04,007,A,SO2.2010.Miami,9/30/2023
ARIZONA,AZ,Maricopa County,8-Hour Ozone (2008),,"Phoenix-Mesa, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,3802415,04,013,e,Ozone_8-hr.2008.Phoenix,9/30/2023
ARIZONA,AZ,Maricopa County,8-Hour Ozone (2015),,"Phoenix-Mesa, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,3802075,04,013,e,Ozone_8-hr.2015.Phoenix,9/30/2023
ARIZONA,AZ,Maricopa County,PM-10 (1987),,"Maricopa and Pinal Counties; Phoenix planning area, AZ",FALSE,21,22,23,  -   -,Yes,Serious,P,3817145,04,013,A,PM-10.1990.Phoenix,9/30/2023
ARIZONA,AZ,Pima County,PM-10 (1987),,"Pima County; Rillito planning area, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,588,04,019,B,PM-10.1990.Rillito,9/30/2023
ARIZONA,AZ,Pinal County,8-Hour Ozone (2008),,"Phoenix-Mesa, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,47212,04,021,e,Ozone_8-hr.2008.Phoenix,9/30/2023
ARIZONA,AZ,Pinal County,8-Hour Ozone (2015),,"Phoenix-Mesa, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,143009,04,021,e,Ozone_8-hr.2015.Phoenix,9/30/2023
ARIZONA,AZ,Pinal County,Lead (2008),,"Hayden, AZ",FALSE,21,22,23,  -   -,Yes,,P,3346,04,021,A,Lead.2008.Hayden,9/30/2023
ARIZONA,AZ,Pinal County,PM-10 (1987),,"Hayden, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,9461,04,021,B,PM-10.1990.Hayden,9/30/2023
ARIZONA,AZ,Pinal County,PM-10 (1987),,"Maricopa and Pinal Counties; Phoenix planning area, AZ",FALSE,21,22,23,  -   -,Yes,Serious,P,35840,04,021,A,PM-10.1990.Phoenix,9/30/2023
ARIZONA,AZ,Pinal County,PM-10 (1987),,"Miami, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,0,04,021,B,PM-10.1990.Miami,9/30/2023
ARIZONA,AZ,Pinal County,PM-10 (1987),,"Pinal County (part); West Pinal, AZ",FALSE,21,22,23,  -   -,Yes,Serious,P,283032,04,021,A,PM-10.1990.Pinal_Co,9/30/2023
ARIZONA,AZ,Pinal County,PM-2.5 (2006),,"West Central Pinal, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,52314,04,021,e,PM-2.5.2006.Pinal_Co,9/30/2023
ARIZONA,AZ,Pinal County,Sulfur Dioxide (1971),,"Hayden (Pinal County), AZ",FALSE,21,22,23,  -   -,Yes,Primary,P,4844,04,021,A,SO2.1978.Hayden,9/30/2023
ARIZONA,AZ,Pinal County,Sulfur Dioxide (2010),,"Hayden, AZ",FALSE,21,22,23,  -   -,Yes,,P,3346,04,021,A,SO2.2010.Hayden,9/30/2023
ARIZONA,AZ,Santa Cruz County,PM-10 (1987),,"Santa Cruz County; Nogales planning area, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,30359,04,023,B,PM-10.1990.Nogales,9/30/2023
ARIZONA,AZ,Yuma County,8-Hour Ozone (2015),,"Yuma, AZ",FALSE,21,22,23,  -   -,Yes,Marginal,P,87254,04,027,f,Ozone_8-hr.2015.Yuma,9/30/2023
ARIZONA,AZ,Yuma County,PM-10 (1987),,"Yuma, AZ",FALSE,21,22,23,  -   -,Yes,Moderate,P,100710,04,027,B,PM-10.1990.Yuma,9/30/2023
CALIFORNIA,CA,Alameda County,8-Hour Ozone (2008),,"San Francisco Bay Area, CA",FALSE,21,22,23,  -   -,Yes,Marginal,W,1510271,06,001,f,Ozone_8-hr.2008.San_Francisco,9/30/2023
CALIFORNIA,CA,Alameda County,8-Hour Ozone (2015),,"San Francisco Bay Area, CA",FALSE,21,22,23,  -   -,Yes,Marginal,W,1510271,06,001,f,Ozone_8-hr.2015.San_Francisco,9/30/2023
CALIFORNIA,CA,Alameda County,PM-2.5 (2006),,"San Francisco Bay Area, CA",FALSE,21,22,23,  -   -,Yes,Moderate,W,1510271,06,001,e,PM-2.5.2006.San_Francisco,9/30/2023
CALIFORNIA,CA,Amador County,8-Hour Ozone (2015),,"Amador County, CA",FALSE,21,22,23,  -   -,Yes,Marginal,W,38091,06,005,f,Ozone_8-hr.2015.Amador_Co,9/30/2023
CALIFORNIA,CA,Butte County,8-Hour Ozone (2008),,"Chico (Butte County), CA",FALSE,21,22,23,  -   -,Yes,Marginal,W,220000,06,007,f,Ozone_8-hr.2008.Chico,9/30/2023
CALIFORNIA,CA,Butte County,8-Hour Ozone (2015),,"Butte County, CA",FALSE,21,22,23,  -   -,Yes,Marginal,W,220000,06,007,f,Ozone_8-hr.2015.Chico,9/30/2023
CALIFORNIA,CA,Calaveras County,8-Hour Ozone (2008),,"Calaveras County, CA",FALSE,21,22,23,  -   -,Yes,Marginal,W,45578,06,009,f,Ozone_8-hr.2008.Calaveras_Co,9/30/2023
CALIFORNIA,CA,Calaveras County,8-Hour Ozone (2015),,"Calaveras County, CA",FALSE,21,22,23,  -   -,Yes,Marginal,W,45578,06,009,f,Ozone_8-hr.2015.Calaveras_Co,9/30/2023
CALIFORNIA,CA,Contra Costa County,8-Hour Ozone (2008),,"San Francisco Bay Area, CA",FALSE,21,22,23,  -   -,Yes,Marginal,W,1049025,06,013,f,Ozone_8-hr.2008.San_Francisco,9/30/2023
CALIFORNIA,CA,Contra Costa County,8-Hour Ozone (2015),,"San Francisco Bay Area, CA",FALSE,21,22,23,  -   -,Yes,Marginal,W,1049025,06,013,f,Ozone_8-hr.2015.San_Francisco,9/30/2023
CALIFORNIA,CA,Contra Costa County,PM-2.5 (2006),,"San Francisco Bay Area, CA",FALSE,21,22,23,  -   -,Yes,Moderate,W,1049025,06,013,e,PM-2.5.2006.San_Francisco,9/30/2023
CALIFORNIA,CA,El Dorado County,8-Hour Ozone (2008),,"Sacramento Metro, CA",FALSE,21,22,23,  -   -,Yes,Severe 15,P,150517,06,017,c,Ozone_8-hr.2008.Sacramento,9/30/2023
CALIFORNIA,CA,El Dorado County,8-Hour Ozone (2015),,"Sacramento Metro, CA",FALSE,21,22,23,  -   -,Yes,Serious,P,150297,06,017,d,Ozone_8-hr.2015.Sacramento,9/30/2023
