nces_id,district_name,city,state,region,high_need,rural,school_with_children_on_indian_land,bureau_funded_schools
0900450,Bridgeport School District,Bridgeport,CT ,1,Yes,No,No,No
0901920,Hartford School District,Hartford,CT ,1,Yes,No,No,No
0902160,Ledyard School District,Ledyard,CT ,1,No,No,Yes,No
0902670,New Britain School District,New Britain,CT ,1,Yes,No,No,No
0902790,New Haven School District,New Haven,CT ,1,Yes,No,No,No
0902820,New London School District,New London,CT ,1,Yes,No,No,No
0903120,Norwich School District,Norwich,CT ,1,Yes,No,No,No
0904830,Waterbury School District,Waterbury,CT ,1,Yes,No,No,No
0905190,Windham School District,Willimantic,CT ,1,Yes,No,No,No
2502790,Boston,Roxbury,MA ,1,Yes,No,No,No
2503540,Chelsea,Chelsea,MA ,1,Yes,No,No,No
2503660,Chicopee,Chicopee,MA ,1,Yes,No,No,No
2504830,Fall River,Fall River,MA ,1,Yes,No,No,No
2504890,Fitchburg,Fitchburg,MA ,1,Yes,No,No,No
2505340,Gosnold,East Falmouth,MA ,1,Yes,No,No,No
2506270,Holyoke,Holyoke,MA ,1,Yes,No,No,No
2506660,Lawrence,Lawrence,MA ,1,Yes,No,No,No
2508430,New Bedford,New Bedford,MA ,1,Yes,No,No,No
2509180,Orange,Orange,MA ,1,Yes,No,No,No
2510050,Revere,Revere,MA ,1,Yes,No,No,No
2511010,Southbridge,Southbridge,MA ,1,Yes,No,No,No
2511130,Springfield,Springfield,MA ,1,Yes,No,No,No
2500043,Up-Island Regional,Vineyard Haven,MA ,1,No,No,Yes,No
2512510,West Springfield,West Springfield,MA ,1,Yes,No,No,No
2513230,Worcester,Worcester,MA ,1,Yes,No,No,No
2382001,Aroostook Unorganized Territory,Not in NCES,ME,1,Yes,No,No,No
5900137,Beatrice Rafferty School,Perry,ME,1,Not in SIAPE,Yes,No,Yes
2300001,Indian Island,Not in NCES,ME,1,Yes,No,No,No
5900160,Indian Island School,Indian Island,ME,1,Not in SIAPE,No,No,Yes
2300002,Indian Township,Not in NCES,ME,1,Yes,No,No,No
5900042,Indian Township School,Princeton,ME,1,Not in SIAPE,Yes,No,Yes
2382002,Oxford Unorganized Territory,Not in NCES,ME,1,Yes,No,No,No
2382009,Piscataquis Unorganized Territory,Not in NCES,ME,1,Yes,No,No,No
2300003,Pleasant Point,Not in NCES,ME,1,Yes,No,No,No
2314760,School Administrative District 67,Not in NCES,ME,1,Yes,No,No,No
2382008,Somerset Unorganized Territory,Not in NCES,ME,1,Yes,No,No,No
2302280,Alexander Public Schools,Eastport,ME ,1,No,Yes,No,No
2314823,Andover Public Schools,Andover,ME ,1,Yes,No,No,No
2302730,Baileyville Public Schools,Baileyville,ME ,1,Yes,No,No,No
2302880,Baring Plt Public Schools,Eastport,ME ,1,No,Yes,No,No
2302950,Beals Public Schools,Beals,ME ,1,Yes,Yes,No,No
2302960,Beaver Cove Public Schools,Beaver Cove,ME ,1,No,Yes,No,No
2302980,Beddington Public Schools,Harrington,ME ,1,Yes,Yes,No,No
2303390,Bowerbank Public Schools,Parkman,ME ,1,No,Yes,No,No
2303480,Bremen Public Schools,Damariscotta,ME ,1,No,Yes,No,No
2300004,Bridgewater Public Schools,Mars Hill,ME ,1,Yes,Yes,No,No
2314811,Brighton Plt School Department,Anson,ME ,1,Yes,Yes,No,No
2303600,Bristol Public Schools,Damariscotta,ME ,1,No,Yes,No,No
2303610,Brooklin Public Schools,Deer Isle,ME ,1,No,Yes,No,No
2314834,Burlington Public Schools,Burlington,ME ,1,Yes,No,No,No
2314835,Byron Public Schools,Byron,ME ,1,Yes,Yes,No,No
2300061,Caratunk Public Schools,Anson,ME ,1,Yes,Yes,No,No
2303980,Carrabassett Valley Public Schools,Carrabassett Valley,ME ,1,No,Yes,No,No
2303990,Carroll Plt Public Schools,Lee,ME ,1,Yes,Yes,No,No
2304110,Caswell Public Schools,Caswell,ME ,1,Yes,Yes,No,No
2304160,Charlotte Public Schools,Eastport,ME ,1,No,Yes,No,No
2314814,Cherryfield Public Schools,Cherryfield,ME ,1,Yes,Yes,No,No
2304500,Coplin Plt Public Schools,Coplin Plantation,ME ,1,No,Yes,No,No
2304650,Crawford Public Schools,Eastport,ME ,1,Yes,Yes,No,No
2300065,Cutler Public Schools,Cutler,ME ,1,No,Yes,No,No
2304830,Damariscotta Public Schools,Damariscotta,ME ,1,No,Yes,No,No
2304880,Deblois Public Schools,Harrington,ME ,1,No,Yes,No,No
2304895,Deer Isle-Stonington CSD,Deer Isle,ME ,1,No,Yes,No,No
2304897,Dennistown Plt Public Schools,Searsport,ME ,1,Yes,No,No,No
2304900,Dennysville Public Schools,Eastport,ME ,1,Yes,Yes,No,No
2305160,Drew Plt Public Schools,Lee,ME ,1,Yes,Yes,No,No
2314839,Eagle Lake Public Schools,Eagle Lake,ME ,1,No,Yes,No,No
2300062,East Machias Public Schools,Machias,ME ,1,Yes,Yes,No,No
2305280,East Millinocket Public Schools,East Millinocket,ME ,1,Yes,No,No,No
2305380,East Range CSD,Baileyville,ME ,1,No,Yes,No,No
2305360,Eastport Public Schools,Eastport,ME ,1,Yes,Yes,No,No
2312100,Education in Unorganized Terr,Augusta,ME ,1,Not in SIAPE,Yes,No,No
2314818,Eustis Public Schools,Stratton,ME ,1,No,Yes,No,No
2307590,Frenchboro Public Schools,Bar Harbor,ME ,1,No,Yes,No,No
2305980,Gilead Public Schools,Bethel,ME ,1,Yes,Yes,No,No
2300005,Grand Isle Public Schools,Grand Isle,ME ,1,Yes,Yes,No,No
2306150,Grand Lake Stream Plt School Dept,Baileyville,ME ,1,Yes,No,No,No
2306160,Great Salt Bay CSD,Damariscotta,ME ,1,No,Yes,No,No
2306180,Greenbush Public Schools,Greenbush,ME ,1,Yes,No,No,No
2306250,Greenville Public Schools,Greenville,ME ,1,No,Yes,No,No
2306330,Harmony Public Schools,Dexter,ME ,1,No,Yes,No,No
2306600,Highland Plt Public Schools,Highland Plantation,ME ,1,No,Yes,No,No
2300066,Indian Island,Calais,ME ,1,Not in SIAPE,No,Yes,No
2300064,Indian Township,Calais,ME ,1,Not in SIAPE,No,Yes,No
2306780,Isle Au Haut Public Schools,Deer Isle,ME ,1,No,Yes,No,No
2306870,Jefferson Public Schools,Damariscotta,ME ,1,No,Yes,No,No
2306900,Jonesboro Public Schools,Machias,ME ,1,Yes,Yes,No,No
2307100,Jonesport Public Schools,Jonesport,ME ,1,Yes,Yes,No,No
2307110,Kingsbury Plt Public Schools,Parkman,ME ,1,No,Yes,No,No
2300059,Lake View Plt. Public Schools,Brownville,ME ,1,Yes,Yes,No,No
2307200,Lakeville Public Schools,Lee,ME ,1,No,Yes,No,No
2307320,Lewiston Public Schools,Lewiston,ME ,1,Yes,No,No,No
2314842,Limestone Public Schools,Limestone,ME ,1,Yes,No,No,No
2307440,Lincoln Plt Public Schools,Lincoln Plantation,ME ,1,No,Yes,No,No
2309100,Lincoln-Region 3,Lincoln,ME ,1,Not in SIAPE,Yes,No,No
2300063,Lowell Public Schools,Brewer,ME ,1,Yes,No,No,No
2307710,Machias Public Schools,Machias,ME ,1,Yes,Yes,No,No
2300067,Machiasport Public Schools,Machiasport,ME ,1,Yes,Yes,No,No
2307770,Macwahoc Plt School Dept,Lee,ME ,1,No,Yes,No,No
2307800,Madawaska Public Schools,Madawaska,ME ,1,No,Yes,No,No
2307980,Marshfield Public Schools,Machias,ME ,1,No,Yes,No,No
2308140,Medford Public Schools,Medford,ME ,1,Yes,No,No,No
2308160,Medway Public Schools,Medway,ME ,1,Yes,No,No,No
2308280,Millinocket Public Schools,Millinocket,ME ,1,Yes,No,No,No
2308340,Monhegan Plt School Dept,Richmond,ME ,1,Yes,Yes,No,No
2308400,Moosabec CSD,Jonesport,ME ,1,No,Yes,No,No
2314836,Moro Plantation Public Schools,Patten,ME ,1,Yes,Yes,No,No
2310560,MSAD 10,Wiscasset,ME ,1,Yes,No,No,No
2311100,MSAD 27,Fort Kent,ME ,1,No,Yes,No,No
2314530,MSAD 46,Dexter,ME ,1,Yes,No,No,No
2311910,MSAD 76,Bar Harbor,ME ,1,Yes,Yes,No,No
2308580,Nashville Plt Public Schools,Ashland,ME ,1,No,Yes,No,No
