LEAID,LOCALE
0100199,43
0100208,43
0100300,43
0100510,43
0100690,43
0100720,43
0100900,43
0100960,43
0101260,43
0101950,43
0102130,43
0102250,43
0102310,43
0102670,43
0102820,43
0103090,43
0103480,43
0103510,43
0103540,43
0103580,43
0200001,43
0200003,43
0200004,43
0200005,43
0200007,43
0200010,43
0200020,43
0200030,43
0200050,43
0200060,43
0200070,43
0200090,43
0200100,43
0200120,43
0200270,43
0200300,43
0200330,43
0200360,43
0200390,43
0200450,43
0200485,43
0200520,43
0200525,43
0200540,43
0200610,43
0200625,43
0200630,43
0200660,43
0200670,43
0200680,43
0200690,43
0200700,43
0200710,43
0200715,43
0200720,43
0200730,43
0200760,43
0200770,43
0200775,43
0200780,43
0200810,43
0200840,43
0400005,43
0400022,43
0400023,43
0400026,43
0400154,43
0400480,43
0400607,43
0400612,43
0400630,43
0400750,43
0400870,43
0400910,43
0401000,43
0401160,43
0401230,43
0401260,43
0401290,43
0401330,43
0401810,43
0401920,43
0402190,43
0402220,43
0402490,43
0402600,43
0402760,43
0403200,43
0403290,43
0403310,43
0403550,43
0403660,43
0403730,43
0403900,43
0403950,43
0404920,43
0405730,43
0405760,43
0406120,43
0406150,43
0406510,43
0406740,43
0406850,43
0406870,43
0407380,43
0407430,43
0407630,43
0407680,43
0408430,43
0408880,43
0408910,43
0409120,43
0409540,43
0500020,43
0500021,43
0500022,43
0500030,43
0500032,43
0500041,43
0500061,43
0500071,43
0500072,43
0500076,43
0500079,43
0500405,43
0500432,43
0502670,43
0503300,43
0503420,43
0503770,43
0503840,43
0504350,43
0504410,43
0504560,43
0504890,43
0505340,43
0506150,43
0507110,43
0507230,43
0507620,43
0507710,43
0507740,43
0508240,43
0508490,43
0509480,43
0509510,43
0509570,43
0509600,43
0509720,43
0509990,43
0510200,43
0510320,43
0510920,43
0511070,43
0512090,43
0512420,43
0512480,43
0512930,43
0513560,43
0514490,43
0600009,43
0600018,43
0600031,43
0600038,43
0600155,43
0600159,43
0601325,43
0601331,43
0601424,43
0601467,43
0601644,43
0601752,43
0602281,43
0602337,43
0602488,43
0602543,43
0602730,43
0603090,43
0603610,43
0604560,43
0604860,43
0604890,43
0604950,43
0604980,43
0605010,43
0605190,43
0606000,43
0606510,43
0606580,43
0606960,43
0607260,43
0609240,43
0609665,43
0610680,43
0611100,43
0611430,43
0611870,43
0613860,43
0614040,43
0615990,43
0616530,43
0618270,43
0618810,43
0619170,43
0619230,43
0619920,43
0619950,43
0621960,43
0622440,43
0623550,43
0623730,43
0623940,43
0628830,43
0629190,43
0629770,43
0631230,43
0631830,43
0633720,43
0634050,43
0634080,43
0636240,43
0636420,43
0636810,43
0637470,43
0637590,43
0637630,43
0638070,43
0638520,43
0639750,43
0639840,43
0639940,43
0640680,43
0642300,43
0642580,43
0691044,43
0691090,43
0800001,43
0800013,43
0800017,43
0800018,43
0800019,43
0800229,43
0800234,43
0800262,43
0800277,43
0801980,43
0802010,43
0802040,43
0802130,43
0802220,43
0802260,43
0802520,43
0802760,43
0802850,43
0803120,43
0803150,43
0803210,43
0803270,43
0803300,43
0803420,43
0803510,43
0803630,43
0803840,43
0803930,43
0804110,43
0804140,43
0804290,43
0804320,43
0804440,43
0804560,43
0804590,43
0804620,43
0804680,43
0804710,43
0804740,43
0804890,43
0804980,43
0805040,43
0805070,43
0805100,43
0805160,43
0805280,43
0805340,43
0805460,43
0805580,43
0805610,43
0805670,43
0805700,43
0805850,43
0805880,43
0805910,43
0805940,43
0805970,43
0806000,43
0806030,43
0806090,43
0806180,43
0806210,43
0806300,43
0806360,43
0806390,43
0806420,43
0806510,43
0806570,43
0806600,43
0806630,43
0806720,43
0806780,43
0806870,43
0806930,43
0806990,43
0807050,43
0807110,43
0807200,43
0807260,43
0807290,43
0807410,43
0899080,43
0899180,43
0899280,43
1201020,43
1300090,43
1300218,43
1300750,43
1301200,43
1302370,43
1303660,43
1304680,43
1304800,43
1305070,43
1305250,43
1305580,43
1305730,43
1600010,43
1600138,43
1600150,43
1600192,43
1600193,43
1600240,43
1600330,43
1600490,43
1600540,43
1600570,43
1600630,43
1600720,43
1600750,43
1600810,43
1600840,43
1600900,43
1601170,43
1601230,43
1601620,43
1601900,43
1602030,43
1602060,43
1602160,43
1602400,43
1602430,43
1602490,43
1602610,43
1602700,43
1602730,43
1602760,43
1602820,43
1602940,43
1603030,43
1603120,43
1603180,43
1603210,43
1603270,43
1603400,43
1700004,43
1700114,43
1700125,43
1700176,43
1700265,43
1700293,43
1700329,43
1701381,43
1701387,43
1704440,43
1705460,43
1706600,43
1708220,43
1709400,43
1713500,43
1718200,43
1720790,43
1722770,43
1725680,43
1729700,43
1729730,43
1732280,43
1736610,43
1737230,43
1737830,43
1738490,43
1739090,43
1740410,43
1740740,43
1742660,43
1801740,43
1807710,43
1809360,43
1810470,43
1900006,43
1900023,43
1900024,43
1900025,43
1900026,43
1900028,43
1900031,43
1903060,43
1903090,43
1903780,43
1903850,43
1903960,43
1904080,43
1904560,43
1904620,43
1905490,43
1905750,43
1905940,43
1906840,43
1906900,43
1907110,43
1908070,43
1908130,43
1908610,43
1909060,43
1909570,43
1910340,43
1910690,43
1910980,43
1911250,43
1912230,43
1912480,43
1913110,43
1913230,43
1913320,43
1913380,43
1913440,43
1913660,43
1914880,43
1915660,43
1916110,43
1916320,43
1916420,43
1916620,43
1917880,43
1918030,43
1918120,43
1918480,43
1918630,43
1918930,43
1919200,43
1919590,43
1919740,43
1919770,43
1919860,43
1920830,43
1921210,43
1921600,43
1922440,43
1923190,43
1923340,43
1924150,43
1924960,43
1925050,43
1925380,43
1925620,43
1926280,43
1927270,43
1928020,43
1928110,43
1928980,43
1929280,43
1929580,43
1929730,43
1930560,43
1930720,43
1931290,43
1931830,43
1931920,43
1999001,43
1999005,43
2000007,43
2000012,43
2000013,43
2000020,43
2000023,43
2000028,43
2000029,43
2000030,43
2000040,43
2000046,43
2000346,43
2000347,43
2000349,43
2000353,43
2000369,43
2000370,43
2000382,43
2003390,43
2003430,43
2003510,43
2003570,43
2003960,43
2004020,43
2004080,43
2004140,43
2004230,43
2004380,43
2004410,43
2004470,43
2004500,43
2004560,43
2004770,43
2004790,43
2004800,43
2004950,43
2005040,43
