state_postal_code,state_fips_code,district_id,name,estimated_5_to_17_population,estimated_5_to_17_poverty_population,poverty_rate
AL,01,00190,Alabaster City School District,"6,611",622,9.41
AL,01,00005,Albertville City School District,"4,668","1,042",22.32
AL,01,00030,Alexander City City School District,"2,772",765,27.60
AL,01,00060,Andalusia City School District,"1,485",436,29.36
AL,01,00090,Anniston City School District,"2,977","1,054",35.40
AL,01,00100,Arab City School District,"1,510",256,16.95
AL,01,00120,Athens City School District,"4,149",545,13.14
AL,01,00180,Attalla City School District,962,263,27.34
AL,01,00210,Auburn City School District,"10,732","1,173",10.93
AL,01,00240,Autauga County School District,"10,444","1,607",15.39
AL,01,00270,Baldwin County School District,"36,648","5,478",14.95
AL,01,00300,Barbour County School District,"1,412",488,34.56
AL,01,00330,Bessemer City School District,"4,306","1,852",43.01
AL,01,00360,Bibb County School District,"3,342",940,28.13
AL,01,00390,Birmingham City School District,"27,013","11,105",41.11
AL,01,00420,Blount County School District,"9,099","1,420",15.61
AL,01,00012,Boaz City School District,"1,950",467,23.95
AL,01,00450,Brewton City School District,860,249,28.95
AL,01,00480,Bullock County School District,"1,622",690,42.54
AL,01,00510,Butler County School District,"3,189","1,073",33.65
AL,01,00540,Calhoun County School District,"9,364","1,963",20.96
AL,01,00600,Chambers County School District,"4,127","1,161",28.13
AL,01,00630,Cherokee County School District,"3,555",882,24.81
AL,01,00188,Chickasaw City School District,"1,150",379,32.96
AL,01,00660,Chilton County School District,"8,016","1,621",20.22
AL,01,00690,Choctaw County School District,"1,831",587,32.06
AL,01,00720,Clarke County School District,"2,779",808,29.08
AL,01,00750,Clay County School District,"2,172",576,26.52
AL,01,00780,Cleburne County School District,"2,552",525,20.57
AL,01,00810,Coffee County School District,"3,669",711,19.38
AL,01,00840,Colbert County School District,"3,351",677,20.20
AL,01,00870,Conecuh County School District,"1,668",555,33.27
AL,01,00900,Coosa County School District,"1,257",362,28.80
AL,01,00930,Covington County School District,"3,540",807,22.80
AL,01,00960,Crenshaw County School District,"2,287",621,27.15
AL,01,00990,Cullman City School District,"2,895",372,12.85
AL,01,01020,Cullman County School District,"12,000","2,017",16.81
AL,01,01050,Dale County School District,"2,598",544,20.94
AL,01,01080,Daleville City School District,"1,640",380,23.17
AL,01,01110,Dallas County School District,"3,395","1,292",38.06
AL,01,01140,DeKalb County School District,"10,335","2,447",23.68
AL,01,01170,Decatur City School District,"9,722","1,732",17.82
AL,01,01200,Demopolis City School District,"1,279",435,34.01
AL,01,01230,Dothan City School District,"11,594","3,258",28.10
AL,01,01260,Elba City School District,717,229,31.94
AL,01,01290,Elmore County School District,"13,511","2,128",15.75
AL,01,01320,Enterprise City School District,"5,443","1,053",19.35
AL,01,01350,Escambia County School District,"5,263","1,568",29.79
AL,01,01380,Etowah County School District,"9,967","1,750",17.56
AL,01,01410,Eufaula City School District,"2,411",788,32.68
AL,01,01440,Fairfield City School District,"1,709",678,39.67
AL,01,01470,Fayette County School District,"2,356",590,25.04
AL,01,01530,Florence City School District,"5,376","1,475",27.44
AL,01,01560,Fort Payne City School District,"2,820",657,23.30
AL,01,00001,Fort Rucker School District,846,34,4.02
AL,01,01590,Franklin County School District,"3,665",837,22.84
AL,01,01620,Gadsden City School District,"5,269","1,785",33.88
AL,01,01640,Geneva City School District,917,266,29.01
AL,01,01660,Geneva County School District,"3,479",913,26.24
AL,01,01680,Greene County School District,"1,214",595,49.01
AL,01,00202,Gulf Shores City School District,"1,874",284,15.15
AL,01,01690,Guntersville City School District,"1,351",275,20.36
AL,01,01710,Hale County School District,"2,546",807,31.70
AL,01,01720,Haleyville City School District,"1,366",352,25.77
AL,01,01730,Hartselle City School District,"2,749",265,9.64
AL,01,01740,Henry County School District,"2,709",621,22.92
AL,01,01760,Homewood City School District,"4,425",371,8.38
AL,01,00007,Hoover City School District,"15,886","1,265",7.96
AL,01,01770,Houston County School District,"6,662","1,538",23.09
AL,01,01800,Huntsville City School District,"30,996","5,106",16.47
AL,01,01830,Jackson County School District,"5,810","1,510",25.99
AL,01,01860,Jacksonville City School District,"1,685",364,21.60
AL,01,01890,Jasper City School District,"2,401",541,22.53
AL,01,01920,Jefferson County School District,"41,021","9,110",22.21
AL,01,01950,Lamar County School District,"2,192",498,22.72
AL,01,01980,Lanett City School District,"1,165",493,42.32
AL,01,02010,Lauderdale County School District,"8,449","1,450",17.16
AL,01,02040,Lawrence County School District,"5,470","1,179",21.55
AL,01,02070,Lee County School District,"10,653","1,987",18.65
AL,01,00011,Leeds City School District,"2,042",434,21.25
AL,01,02100,Limestone County School District,"10,153","1,347",13.27
AL,01,02130,Linden City School District,626,235,37.54
AL,01,02160,Lowndes County School District,"1,606",690,42.96
AL,01,02190,Macon County School District,"2,417",988,40.88
AL,01,00008,Madison City School District,"12,485",613,4.91
AL,01,02220,Madison County School District,"23,675","2,342",9.89
AL,01,02250,Marengo County School District,"1,274",397,31.16
AL,01,02310,Marion County School District,"3,669",883,24.07
AL,01,00006,Marshall County School District,"8,887","1,955",22.00
AL,01,00003,Maxwell AFB School District,282,20,7.09
AL,01,02350,Midfield City School District,"1,056",455,43.09
AL,01,02370,Mobile County School District,"64,980","15,009",23.10
AL,01,02400,Monroe County School District,"3,113","1,010",32.44
AL,01,02430,Montgomery County School District,"36,398","11,826",32.49
AL,01,02480,Morgan County School District,"8,777","1,172",13.35
AL,01,02490,Mountain Brook City School District,"5,143",192,3.73
AL,01,02520,Muscle Shoals City School District,"2,865",407,14.21
AL,01,02550,Oneonta City School District,"1,079",179,16.59
AL,01,02580,Opelika City School District,"5,012","1,260",25.14
AL,01,02610,Opp City School District,"1,161",367,31.61
AL,01,02635,Oxford City School District,"4,276",857,20.04
AL,01,02640,Ozark City School District,"2,702",686,25.39
AL,01,00194,Pelham City School District,"4,066",404,9.94
AL,01,02650,Pell City City School District,"4,583",863,18.83
AL,01,02670,Perry County School District,"1,256",603,48.01
AL,01,02700,Phenix City City School District,"7,095","2,288",32.25
AL,01,02730,Pickens County School District,"2,655",760,28.63
AL,01,02760,Piedmont City School District,"1,066",329,30.86
AL,01,02790,Pike County School District,"2,498",752,30.10
AL,01,00195,Pike Road City School District,"2,116",186,8.79
AL,01,02820,Randolph County School District,"2,556",683,26.72
