nces_id,district_name,city,state,region,district_in_saipe,large_district
0900208,Achievement First Bridgeport Academy District,New Haven,CT ,1,Not in SIAPE,No
0900212,Achievement First Hartford Academy District,New Haven,CT ,1,Not in SIAPE,No
0900024,Amistad Academy District,New Haven,CT ,1,Not in SIAPE,No
0900070,Area Cooperative Educational Services,North Haven,CT ,1,Not in SIAPE,No
0900217,Booker T. Washington Academy District,New Haven,CT ,1,Not in SIAPE,No
0900215,Brass City Charter School District,Waterbury,CT ,1,Not in SIAPE,No
0900221,Capital Preparatory Harbor School District,Bridgeport,CT ,1,Not in SIAPE,No
0900700,Capitol Region Education Council,Hartford,CT ,1,Not in SIAPE,No
0900014,Common Ground High School District,New Haven,CT ,1,Not in SIAPE,No
0900002,Connecticut Technical Education and Career System,Hartford,CT ,1,Not in SIAPE,No
0900910,Cooperative Educational Services,Trumbull,CT ,1,Not in SIAPE,No
0900227,Department of Aging and Disability Services,Hartford,CT ,1,Not in SIAPE,No
0900027,Department of Mental Health and Addiction Services,Hartford,CT ,1,Not in SIAPE,No
0900026,Department of Social Services,Hartford,CT ,1,Not in SIAPE,No
0901360,Eastern Connecticut Regional Educational Service Center (EAS,Hampton,CT ,1,Not in SIAPE,No
0903512,EdAdvance,Litchfield,CT ,1,Not in SIAPE,No
0900214,Elm City College Preparatory School District,New Haven,CT ,1,Not in SIAPE,No
0900216,Elm City Montessori School District,New Haven,CT ,1,Not in SIAPE,No
0900018,Explorations District,Winsted,CT ,1,Not in SIAPE,No
0900226,Goodwin University Educational Services (GUES),East Hartford,CT ,1,Not in SIAPE,No
0900219,Great Oaks Charter School District,Bridgeport,CT ,1,Not in SIAPE,No
0900207,Highville Charter School District,New Haven,CT ,1,Not in SIAPE,No
0900010,Integrated Day Charter School District,Norwich,CT ,1,Not in SIAPE,No
0900011,Interdistrict School for Arts and Comm District,New London,CT ,1,Not in SIAPE,No
0900222,Judicial Centers,Glastonbury,CT ,1,Not in SIAPE,No
0900007,Jumoke Academy District,Hartford,CT ,1,Not in SIAPE,No
0903450,Learn,Old Lyme,CT ,1,Not in SIAPE,No
0900028,New Beginnings Inc Family Academy District,Bridgeport,CT ,1,Not in SIAPE,No
0905371,Norwich Free Academy District,Norwich,CT ,1,Not in SIAPE,No
0900009,Odyssey Community School District,Manchester,CT ,1,Not in SIAPE,No
0900001,Office of Early Childhood (OEC),Hartford,CT ,1,Not in SIAPE,No
0900225,Office of Higher Education,Hartford,CT ,1,Not in SIAPE,No
0900033,Park City Prep Charter School District,Bridgeport,CT ,1,Not in SIAPE,No
0900224,Project Oceanology,Groton,CT ,1,Not in SIAPE,No
0900223,Shared Services,Winsted,CT ,1,Not in SIAPE,No
0900016,Side By Side Charter School District,Norwalk,CT ,1,Not in SIAPE,No
0900220,Stamford Charter School for Excellence District,Stamford,CT ,1,Not in SIAPE,No
